u,v,p
0,0,-0.0284581
0,0,-0.0284581
0,0,-0.0292694
0,0,-0.030037
0,0,-0.0308917
0,0,-0.0315317
0,0,-0.0319298
0,0,-0.0319871
0,0,-0.0316829
0,0,-0.0309945
0,0,-0.0299254
0,0,-0.0284856
0,0,-0.0266956
0,0,-0.0245813
0,0,-0.0221734
0,0,-0.0195058
0,0,-0.0166154
0,0,-0.0135408
0,0,-0.0103226
0,0,-0.00700302
0,0,-0.00362529
0,0,-0.000233922
0,0,0.00312578
0,0,0.00640788
0,0,0.00956624
0,0,0.012555
0,0,0.0153291
0,0,0.0178453
0,0,0.0200631
0,0,0.0219457
0,0,0.0234627
0,0,0.0245903
0,0,0.0253169
0,0,0.02564
0,0,0.0255847
0,0,0.0251763
0,0,0.024519
0,0,0.0236461
0,0,0.0228638
0,0,0.0220469
0,0,0.0220469
0,0,-0.0284581
-2.1289e-06,3.07019e-06,-0.0284581
-9.81345e-05,0.000114241,-0.0292694
-0.000376141,0.000243378,-0.030037
-0.000807097,0.00036527,-0.0308917
-0.0013806,0.000463937,-0.0315317
-0.0020601,0.000537169,-0.0319298
-0.00281668,0.000585091,-0.0319871
-0.0036189,0.000610305,-0.0316829
-0.00444021,0.000615635,-0.0309945
-0.0052566,0.000604066,-0.0299254
-0.00604784,0.000578312,-0.0284856
-0.00679677,0.000540802,-0.0266956
-0.00748913,0.000493628,-0.0245813
-0.00811314,0.000438566,-0.0221734
-0.00865917,0.000377106,-0.0195058
-0.00911943,0.000310503,-0.0166154
-0.00948767,0.000239821,-0.0135408
-0.00975901,0.000165984,-0.0103226
-0.00992976,8.9832e-05,-0.00700302
-0.00999735,1.21617e-05,-0.00362529
-0.00996033,-6.62235e-05,-0.000233922
-0.00981837,-0.000144473,0.00312578
-0.00957235,-0.000221646,0.00640788
-0.00922453,-0.000296675,0.00956624
-0.0087787,-0.000368331,0.012555
-0.00824044,-0.000435186,0.0153291
-0.00761736,-0.00049559,0.0178453
-0.00691942,-0.000547646,0.0200631
-0.00615922,-0.000589198,0.0219457
-0.00535227,-0.000617839,0.0234627
-0.00451738,-0.000630919,0.0245903
-0.00367654,-0.000625636,0.0253169
-0.00285559,-0.000599072,0.02564
-0.00208273,-0.000548636,0.0255847
-0.0013906,-0.00047212,0.0251763
-0.000808815,-0.000369924,0.024519
-0.000373839,-0.000244871,0.0236461
